ZCTA,Total:,Not Hispanic or Latino:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,,,,,,,,,,
ZCTA5 11205,"50,681","42,574","25,013","12,102",207,"3,114",,,,,,,,,,
ZCTA5 11206,"90,903","58,039","33,531","16,639",42,"5,456",,,,,,,,,,
ZCTA5 11207,"97,690","64,038","4,976","53,948",67,"1,503",,,,,,,,,,
ZCTA5 11208,"107,724","64,016","3,123","49,689",57,"7,481",,,,,,,,,,
ZCTA5 11209,"72,938","59,489","44,590","2,677",83,"9,881",,,,,,,,,,
ZCTA5 11210,"65,854","61,170","20,668","34,127",0,"3,169",,,,,,,,,,
ZCTA5 11211,"65,925","48,492","39,720","2,459",69,"3,927",,,,,,,,,,
ZCTA5 11212,"78,296","64,976","2,482","57,409",49,828,,,,,,,,,,
ZCTA5 11213,"69,392","61,126","14,650","42,903",0,"1,214",,,,,,,,,,
ZCTA5 11214,"95,361","78,882","38,739","1,564",49,"34,806",,,,,,,,,,
ZCTA5 11215,"73,419","61,451","48,592","2,326",40,"6,532",,,,,,,,,,
ZCTA5 11216,"62,210","54,249","18,869","28,924",21,"2,784",,,,,,,,,,
ZCTA5 11217,"42,107","36,059","21,746","7,515",43,"3,644",,,,,,,,,,
ZCTA5 11218,"76,370","63,926","39,986","5,788",35,"14,713",,,,,,,,,,
ZCTA5 11219,"93,119","81,580","56,362","1,174",106,"21,855",,,,,,,,,,
ZCTA5 11220,"93,584","56,772","14,539","1,705",219,"39,198",,,,,,,,,,
ZCTA5 11221,"89,728","60,682","17,907","35,470",36,"3,953",,,,,,,,,,
ZCTA5 11222,"39,669","33,976","28,802","1,181",22,"1,569",,,,,,,,,,
ZCTA5 11223,"83,565","72,343","42,942","4,273",119,"21,580",,,,,,,,,,
ZCTA5 11224,"48,110","38,432","23,929","9,004",137,"4,125",,,,,,,,,,
ZCTA5 11225,"59,465","53,319","17,166","32,510",17,"1,618",,,,,,,,,,
ZCTA5 11226,"99,776","84,998","13,641","63,800",206,"2,883",,,,,,,,,,
ZCTA5 11228,"45,267","39,615","23,152",440,31,"15,237",,,,,,,,,,
ZCTA5 11229,"85,538","77,704","50,725","4,632",72,"19,812",,,,,,,,,,
ZCTA5 11230,"91,789","81,752","57,258","6,847",0,"13,971",,,,,,,,,,
ZCTA5 11231,"40,311","33,874","24,312","4,577",64,"1,960",,,,,,,,,,
ZCTA5 11232,"28,501","14,183","6,499","1,942",19,"4,604",,,,,,,,,,
ZCTA5 11233,"85,633","71,976","9,793","57,952",294,"1,154",,,,,,,,,,
ZCTA5 11234,"94,254","85,684","32,593","41,612",224,"7,528",,,,,,,,,,
ZCTA5 11235,"84,859","77,207","60,353","1,706",0,"10,849",,,,,,,,,,
ZCTA5 11236,"102,238","93,476","4,016","82,918",117,"2,384",,,,,,,,,,
ZCTA5 11237,"50,590","20,892","11,711","3,564",189,"3,269",,,,,,,,,,
ZCTA5 11238,"58,597","51,977","28,330","16,436",0,"3,633",,,,,,,,,,
ZCTA5 11239,"15,917","13,438","2,460","9,950",0,438,,,,,,,,,,
ZCTA5 11249,"42,421","33,983","27,951","1,830",0,"2,260",,,,,,,,,,
ZCTA5 11354,"53,375","45,901","8,846","1,719",68,"34,128",,,,,,,,,,
ZCTA5 11355,"80,918","68,816","6,046","1,659",321,"59,568",,,,,,,,,,
ZCTA5 11356,"27,295","15,531","6,470",337,0,"8,449",,,,,,,,,,
ZCTA5 11357,"44,030","37,360","25,467",194,36,"10,805",,,,,,,,,,
ZCTA5 11358,"38,103","30,939","11,937",265,213,"17,414",,,,,,,,,,
ZCTA5 11359,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 11360,"20,076","17,916","11,253",224,0,"5,955",,,,,,,,,,
ZCTA5 11361,"30,006","25,648","11,899","1,372",48,"11,797",,,,,,,,,,
ZCTA5 11362,"19,217","17,370","7,477",463,0,"9,143",,,,,,,,,,
ZCTA5 11363,"7,424","6,616","3,668",62,87,"2,569",,,,,,,,,,
ZCTA5 11364,"39,015","32,699","12,023",743,292,"18,715",,,,,,,,,,
ZCTA5 11365,"45,439","36,162","11,143","4,292",63,"19,534",,,,,,,,,,
ZCTA5 11366,"13,922","12,275","4,697",843,0,"6,162",,,,,,,,,,
ZCTA5 11367,"42,362","35,205","19,117","2,713",75,"11,983",,,,,,,,,,
ZCTA5 11368,"116,469","28,390","5,670","7,947",67,"13,502",,,,,,,,,,
ZCTA5 11369,"31,550","13,891","2,893","5,216",43,"5,055",,,,,,,,,,
ZCTA5 11370,"29,780","18,476","7,573","3,816",93,"6,602",,,,,,,,,,
ZCTA5 11371,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 11372,"67,252","31,253","12,518","1,925",0,"14,431",,,,,,,,,,
ZCTA5 11373,"102,104","58,620","5,183","1,352",354,"49,629",,,,,,,,,,
ZCTA5 11374,"47,019","37,609","18,516","1,937",0,"14,511",,,,,,,,,,
ZCTA5 11375,"76,091","65,089","37,879","1,999",8,"21,693",,,,,,,,,,
ZCTA5 11377,"85,255","52,174","17,408","1,304",53,"31,345",,,,,,,,,,
ZCTA5 11378,"39,994","25,910","19,711",353,24,"4,896",,,,,,,,,,
ZCTA5 11379,"39,805","31,579","25,687",206,42,"4,513",,,,,,,,,,
ZCTA5 11385,"109,111","58,314","46,484","2,147",30,"7,507",,,,,,,,,,
ZCTA5 11411,"21,605","20,158",526,"19,055",0,54,,,,,,,,,,
ZCTA5 11412,"41,782","39,146",498,"34,884",254,"1,351",,,,,,,,,,
ZCTA5 11413,"45,661","42,556",544,"39,645",69,712,,,,,,,,,,
ZCTA5 11414,"30,915","23,213","19,924","1,119",0,"1,583",,,,,,,,,,
ZCTA5 11415,"20,351","15,530","9,287","1,199",149,"4,069",,,,,,,,,,
